STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/29,62,30
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/30,58,41
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/10/31,59,32
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/1,62,39
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/2,64,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/3,58,32
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/4,62,32
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/5,68,36
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/6,67,39
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/7,58,36
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/8,47,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/9,52,25
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/10,60,31
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/11,48,38
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/12,47,36
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/13,47,26
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/14,53,28
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/15,52,32
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/16,51,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/17,53,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/18,49,44
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/19,52,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/20,53,45
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/21,53,44
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/22,47,38
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/23,52,37
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/24,51,34
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/25,54,31
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/26,45,31
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/27,56,29
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/28,55,28
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/29,56,29
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/11/30,53,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/1,49,29
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/2,40,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/3,35,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/4,33,15
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/5,43,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/6,47,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/7,44,22
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/8,37,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/9,41,15
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/10,44,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/11,34,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/12,27,15
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/13,28,11
CHM00054511,"BEIJING, CH",39.933,116.283,55,1980/12/14,36,11
